at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
1489.415,12.027,1,97.054,0,-79.076,1.968548839,1.071618528,0.121285965,1.870253757,CAL,14707,2017,1194262200,121.295,43.032,Uncertainty
1838.568,11.983,1,121.295,0,9.972,1.144270252,1.893400584,-0.008562638,1.541877157,CAL,14707,2018,1485200930,94.496,41.887,Uncertainty
168.579,0,0,9.784,0,-3.993,6.921573359,0.605453126,0.073178165,1.499546207,RCKY,895456,2010,47324340,13.688,7.427,Uncertainty
174.066,0,0,13.688,0,4.565,10.93266856,0.492079547,0.071206926,1.376483633,RCKY,895456,2011,92426600,8.855,7.49,Uncertainty
174.844,0,0,8.855,0,-9.074,8.375655824,0.3916601,0.07048083,1.305838347,RCKY,895456,2012,98977760,7.943,7.504,Uncertainty
199.025,2.255,1,7.943,0,6.016,7.789331649,0.516808548,0.056191079,1.230352971,RCKY,895456,2013,113641920,9.845,7.536,Uncertainty
213.228,3.018,1,9.845,0,1.875,5.949345498,0.54124382,0.07116113,1.342422196,RCKY,895456,2014,107294200,6.603,7.55,Uncertainty
193.865,3.252,1,6.603,0,-18.965,8.762001627,0.364093724,0.046460737,1.389121296,RCKY,895456,2015,141409400,2.021,7.567,Uncertainty
180.573,3.297,1,2.021,0,-20.576,6.795316027,0.336647075,-0.01583342,1.44129521,RCKY,895456,2016,86643540,12.941,7.421,Uncertainty
173.479,3.269,1,12.941,0,-9.24,5.951562968,0.229536547,0.067948091,1.45952536,RCKY,895456,2017,100068000,14.553,7.399,Uncertainty
184.663,3.484,1,14.553,0,-4.86,5.24362459,0.218294574,0.096011875,1.368406232,RCKY,895456,2018,222210000,16.737,7.368,Uncertainty
1509.214,0,0,57.927,0,-74.971,1.693824397,1.098879505,0.076447347,2.707354292,MOH,1179929,2010,741024000,90.117,45.4635,Negative
1652.146,0,0,90.117,0,-105.165,1.741480209,1.188061287,0.027570844,2.887117724,MOH,1179929,2011,1243587600,23.79,45.815,Negative
1934.822,0,0,23.79,0,-303.746,1.62930642,1.473203854,0.012514157,3.115926426,MOH,1179929,2012,1087371000,44.83,46.762,Negative
3002.937,0,0,44.83,0,-192.35,1.576276531,2.362988654,0.059275178,2.194163248,MOH,1179929,2013,1688566880,47.379,45.871,Negative
4477.215,0,0,47.379,0,-898.812,1.492292299,3.430947051,0.061579982,2.159065625,MOH,1179929,2014,2064762320,146,49.727,Negative
6576,0,0,146,0,-843.427,1.388278388,3.223506744,0.091843288,2.156021898,MOH,1179929,2015,3875779600,52,56,Negative
7449,0,0,52,0,-651,1.310284464,3.517283202,0.031534263,2.387166063,MOH,1179929,2016,2823541600,204,57,Negative
8471,0,0,204,0,-750,1.351628577,5.335826477,-0.382946896,2.347184512,MOH,1179929,2017,3943536720,790,60,Negative
7154,0,0,790,0,1104,1.521902967,3.343655131,0.429265331,2.64048085,MOH,1179929,2018,6041428900,728,62,Negative
8141.148,0,0,797.946,0,-305.971,3.011034671,0.567900852,0.149195351,0.466764638,ADBE,796343,2010,13913359890,930.62,501.897,Negative
8991.183,0,0,930.62,0,-330.635,3.015281676,0.554730644,0.144013613,0.468932509,ADBE,796343,2011,15532117150,829.858,491.54,Negative
9974.523,0,0,829.858,0,-359.068,3.405821261,0.496511723,0.124944075,0.44149249,ADBE,796343,2012,15918368310,316.482,494.132,Negative
10380.298,0,0,316.482,0,-512.531,2.651941339,0.543622746,0.043122793,0.390667012,ADBE,796343,2013,22883011160,298.278,496.261,Negative
10785.829,0,0,298.278,0,-672.776,1.845038255,0.59179165,0.039610207,0.384492003,ADBE,796343,2014,35990055000,599.695,497.484,Negative
11726.472,0,0,599.695,0,-689.934,2.178346516,0.674832252,0.089915562,0.408947465,ADBE,796343,2015,40314221450,1167.274,497.809,Negative
12707.114,0,0,1167.274,0,-631.216,2.077002883,0.711433857,0.157415215,0.460720664,ADBE,796343,2016,47731294890,1693.954,494.254,Negative
